id_genoscope,id_ecofog,projet,sites,sample_type,species
DBR_AEE,ACAR_01,G-MANAGE,Acarouany,Cambium,Dicorynia_guianensis
DBR_AEK,ACAR_02,G-MANAGE,Acarouany,Cambium,Dicorynia_guianensis
DBR_AEY,ACAR_03,G-MANAGE,Acarouany,Cambium,Dicorynia_guianensis
DBR_AFN,ACAR_04,G-MANAGE,Acarouany,Cambium,Dicorynia_guianensis
DBR_AFP,ACAR_05,G-MANAGE,Acarouany,Cambium,Dicorynia_guianensis
DBR_AFQ,ACAR_06,G-MANAGE,Acarouany,Cambium,Dicorynia_guianensis
DBR_AFR,ACAR_07,G-MANAGE,Acarouany,Cambium,Dicorynia_guianensis
DBR_AFU,ACAR_08,G-MANAGE,Acarouany,Cambium,Dicorynia_guianensis
DBR_AEB,APAT_01,G-MANAGE,Apatou,Cambium,Dicorynia_guianensis
DBR_AEZ,APAT_02,G-MANAGE,Apatou,Cambium,Dicorynia_guianensis
DBR_AFX,APAT_03,G-MANAGE,Apatou,Cambium,Dicorynia_guianensis
DBR_AGB,APAT_04,G-MANAGE,Apatou,Cambium,Dicorynia_guianensis
DBR_ACW,CCAO_01,G-MANAGE,Cacao,Cambium,Dicorynia_guianensis
DBR_ACX,CCAO_02,G-MANAGE,Cacao,Cambium,Dicorynia_guianensis
DBR_ADB,CCAO_03,G-MANAGE,Cacao,Cambium,Dicorynia_guianensis
DBR_AEV,CCAO_04,G-MANAGE,Cacao,Cambium,Dicorynia_guianensis
DBR_AFG,CCAO_05,G-MANAGE,Cacao,Cambium,Dicorynia_guianensis
DBR_AFH,CCAO_06,G-MANAGE,Cacao,Cambium,Dicorynia_guianensis
DBR_AGJ,DGED_01,Treemutation,St_georges,Feuille,Dicorynia_guianensis
DBR_AGK,DGED_04,Treemutation,St_georges,Feuille,Dicorynia_guianensis
DBR_AGL,DGED_07,Treemutation,St_georges,Cambium,Dicorynia_guianensis
DBR_AGM,DGED_08,Treemutation,St_georges,Feuille,Dicorynia_guianensis
DBR_ACY,MC87_01,G-MANAGE,MC_87,Cambium,Dicorynia_guianensis
DBR_ACZ,MC87_02,G-MANAGE,MC_87,Cambium,Dicorynia_guianensis
DBR_ADE,MC87_03,G-MANAGE,MC_87,Cambium,Dicorynia_guianensis
DBR_ADM,MC87_04,G-MANAGE,MC_87,Cambium,Dicorynia_guianensis
DBR_ADN,MC87_05,G-MANAGE,MC_87,Cambium,Dicorynia_guianensis
DBR_ADO,MC87_06,G-MANAGE,MC_87,Cambium,Dicorynia_guianensis
DBR_ADV,MC87_07,G-MANAGE,MC_87,Cambium,Dicorynia_guianensis
DBR_AFK,MC87_08,G-MANAGE,MC_87,Cambium,Dicorynia_guianensis
DBR_ADA,MC88_01,G-MANAGE,MC_88,Cambium,Dicorynia_guianensis
DBR_ADC,MC88_02,G-MANAGE,MC_88,Cambium,Dicorynia_guianensis
DBR_ADD,MC88_03,G-MANAGE,MC_88,Cambium,Dicorynia_guianensis
DBR_ADG,MC88_04,G-MANAGE,MC_88,Cambium,Dicorynia_guianensis
DBR_AED,MC88_05,G-MANAGE,MC_88,Cambium,Dicorynia_guianensis
DBR_AEG,MC88_06,G-MANAGE,MC_88,Cambium,Dicorynia_guianensis
DBR_AEN,MC88_07,G-MANAGE,MC_88,Cambium,Dicorynia_guianensis
DBR_AEW,MC88_08,G-MANAGE,MC_88,Cambium,Dicorynia_guianensis
DBR_ADQ,NOPP_01,G-MANAGE,Nouragues_Inselberg,Cambium,Dicorynia_guianensis
DBR_AEI,NOPP_02,G-MANAGE,Nouragues_Inselberg,Cambium,Dicorynia_guianensis
DBR_AEM,NOPP_03,G-MANAGE,Nouragues_Inselberg,Cambium,Dicorynia_guianensis
DBR_AER,NOPP_04,G-MANAGE,Nouragues_Inselberg,Cambium,Dicorynia_guianensis
DBR_AEU,NOPP_05,G-MANAGE,Nouragues_Inselberg,Cambium,Dicorynia_guianensis
DBR_AFA,NOPP_06,G-MANAGE,Nouragues_Inselberg,Cambium,Dicorynia_guianensis
DBR_AFB,NOPP_07,G-MANAGE,Nouragues_Inselberg,Cambium,Dicorynia_guianensis
DBR_AFE,NOPP_08,G-MANAGE,Nouragues_Inselberg,Cambium,Dicorynia_guianensis
DBR_AFI,NOPP_09,G-MANAGE,Nouragues_Inselberg,Cambium,Dicorynia_guianensis
DBR_AFJ,NOPP_10,G-MANAGE,Nouragues_Inselberg,Cambium,Dicorynia_guianensis
DBR_AFO,NOPP_11,G-MANAGE,Nouragues_Inselberg,Cambium,Dicorynia_guianensis
DBR_AFS,NOPP_12,G-MANAGE,Nouragues_Inselberg,Cambium,Dicorynia_guianensis
DBR_AFT,NOPP_13,G-MANAGE,Nouragues_Inselberg,Cambium,Dicorynia_guianensis
DBR_AGD,NOPP_14,G-MANAGE,Nouragues_Inselberg,Cambium,Dicorynia_guianensis
DBR_AGH,NOPP_15,G-MANAGE,Nouragues_Inselberg,Cambium,Dicorynia_guianensis
DBR_ADF,PK90_01,G-MANAGE,Regina,Cambium,Dicorynia_guianensis
DBR_ADT,PK90_02,G-MANAGE,Regina,Cambium,Dicorynia_guianensis
DBR_AEL,PK90_03,G-MANAGE,Regina,Cambium,Dicorynia_guianensis
DBR_AEQ,PK90_04,G-MANAGE,Regina,Cambium,Dicorynia_guianensis
DBR_AGA,PK90_05,G-MANAGE,Regina,Cambium,Dicorynia_guianensis
DBR_ADX,RAPA_01,G-MANAGE,Apatou,Cambium,Dicorynia_guianensis
DBR_AEA,RAPA_02,G-MANAGE,Apatou,Cambium,Dicorynia_guianensis
DBR_AFF,RAPA_03,G-MANAGE,Apatou,Cambium,Dicorynia_guianensis
DBR_AFL,RAPA_04,G-MANAGE,Apatou,Cambium,Dicorynia_guianensis
DBR_AEC,REGI_01,G-MANAGE,Regina,Cambium,Dicorynia_guianensis
DBR_AGE,REGI_02,G-MANAGE,Regina,Cambium,Dicorynia_guianensis
DBR_AGI,REGI_03,G-MANAGE,Regina,Cambium,Dicorynia_guianensis
DBR_ADJ,SLAV_01,G-MANAGE,Saut_Lavilette,Cambium,Dicorynia_guianensis
DBR_ADK,SLAV_02,G-MANAGE,Saut_Lavilette,Cambium,Dicorynia_guianensis
DBR_ADL,SLAV_03,G-MANAGE,Saut_Lavilette,Cambium,Dicorynia_guianensis
DBR_ADP,SLAV_04,G-MANAGE,Saut_Lavilette,Cambium,Dicorynia_guianensis
DBR_ADZ,SLAV_05,G-MANAGE,Saut_Lavilette,Cambium,Dicorynia_guianensis
DBR_AET,SLAV_06,G-MANAGE,Saut_Lavilette,Cambium,Dicorynia_guianensis
DBR_AFV,SLAV_07,G-MANAGE,Saut_Lavilette,Cambium,Dicorynia_guianensis
DBR_AFW,SLAV_08,G-MANAGE,Saut_Lavilette,Cambium,Dicorynia_guianensis
DBR_AEJ,STEL_01,G-MANAGE,Piste_St_Elie,Cambium,Dicorynia_guianensis
DBR_AEO,STEL_02,G-MANAGE,Piste_St_Elie,Cambium,Dicorynia_guianensis
DBR_AEX,STEL_03,G-MANAGE,Piste_St_Elie,Cambium,Dicorynia_guianensis
DBR_AFD,STEL_04,G-MANAGE,Piste_St_Elie,Cambium,Dicorynia_guianensis
DBR_AFM,STEL_05,G-MANAGE,Piste_St_Elie,Cambium,Dicorynia_guianensis
DBR_AGG,STEL_06,G-MANAGE,Piste_St_Elie,Cambium,Dicorynia_guianensis
DBR_ADH,STGE_01,G-MANAGE,Foret_Regina_St_Georges,Cambium,Dicorynia_guianensis
DBR_ADI,STGE_02,G-MANAGE,St_georges,Cambium,Dicorynia_guianensis
DBR_ADR,STGE_03,G-MANAGE,St_georges,Cambium,Dicorynia_guianensis
DBR_ADS,STGE_04,G-MANAGE,Foret_Regina_St_Georges,Cambium,Dicorynia_guianensis
DBR_ADU,STGE_05,G-MANAGE,Foret_Regina_St_Georges,Cambium,Dicorynia_guianensis
DBR_ADW,STGE_06,G-MANAGE,Foret_Regina_St_Georges,Cambium,Dicorynia_guianensis
DBR_ADY,STGE_07,G-MANAGE,Foret_Regina_St_Georges,Cambium,Dicorynia_guianensis
DBR_AEH,STGE_08,G-MANAGE,St_georges,Cambium,Dicorynia_guianensis
DBR_AEP,STGE_09,G-MANAGE,St_georges,Cambium,Dicorynia_guianensis
DBR_AES,STGE_10,G-MANAGE,Foret_Regina_St_Georges,Cambium,Dicorynia_guianensis
DBR_AFC,STGE_11,G-MANAGE,Foret_Regina_St_Georges,Cambium,Dicorynia_guianensis
DBR_AFY,STGE_12,G-MANAGE,St_georges,Cambium,Dicorynia_guianensis
DBR_AFZ,STGE_13,G-MANAGE,St_georges,Cambium,Dicorynia_guianensis
DBR_AGC,STGE_14,G-MANAGE,St_georges,Cambium,Dicorynia_guianensis
DBR_AGF,STGE_15,G-MANAGE,Foret_Regina_St_Georges,Cambium,Dicorynia_guianensis
DBR_AEF,STGE_16,G-MANAGE,St_georges,Cambium,Dicorynia_guianensis
DBR_AGN,DB03,Outgroup,Cameroun_Benin,Cambuim,Distemonanthus_benthamianus
DBR_AGO,DP01,Outgroup,Herbier,Feuille,Dicorynia_paraensis
DBR_AGP,DB01,Outgroup,Cameroun_Benin,Feuille,Distemonanthus_benthamianus
DBR_AGQ,DB02,Outgroup,Cameroun_Benin,Feuille,Distemonanthus_benthamianus
DBR_AGR,DB04,Outgroup,Cameroun_Benin,Cambium,Distemonanthus_benthamianus
DSW_AAAA,IW65,EXPAND,Crique_Tigre,Cambium,Dicorynia_guianensis
DSW_AAAB,IW66,EXPAND,Crique_Tigre,Cambium,Dicorynia_guianensis
DSW_AAAC,IW67,EXPAND,Crique_Tigre,Cambium,Dicorynia_guianensis
DSW_AAAE,IW69,EXPAND,Crique_Tigre,Cambium,Dicorynia_guianensis
DSW_AAAF,IW70,EXPAND,Crique_Tigre,Cambium,Dicorynia_guianensis
DSW_AAAH,IW72,EXPAND,Crique_Tigre,Cambium,Dicorynia_guianensis
DSW_AAAI,IW73,EXPAND,Crique_Tigre,Cambium,Dicorynia_guianensis
DSW_AAAL,IW76,EXPAND,Maripasoula,Cambium,Dicorynia_guianensis
DSW_AAAM,IW77,EXPAND,Maripasoula,Cambium,Dicorynia_guianensis
DSW_AAAP,IW80,EXPAND,Maripasoula,Cambium,Dicorynia_guianensis
DSW_AAAQ,IW81,EXPAND,Maripasoula,Cambium,Dicorynia_guianensis
DSW_AAAR,IW82,EXPAND,Maripasoula,Cambium,Dicorynia_guianensis
DSW_AAAT,IW84,EXPAND,Maripasoula,Cambium,Dicorynia_guianensis
DSW_AABE,IX05,EXPAND,Trinité,Cambium,Dicorynia_guianensis
DSW_AABG,IX07,EXPAND,Trinité,Cambium,Dicorynia_guianensis
DSW_AABH,IX08,EXPAND,Trinité,Cambium,Dicorynia_guianensis
DSW_AABI,IX09,EXPAND,Trinité,Cambium,Dicorynia_guianensis
DSW_AABJ,IX10,EXPAND,Trinité,Cambium,Dicorynia_guianensis
DSW_AABK,IX11,EXPAND,Trinité,Cambium,Dicorynia_guianensis
DSW_AABL,IX12,EXPAND,Trinité,Cambium,Dicorynia_guianensis
DSW_AABM,IX13,EXPAND,Trinité,Cambium,Dicorynia_guianensis
DSW_AABN,IX14,EXPAND,Trinité,Cambium,Dicorynia_guianensis
DSW_AABP,IX16,EXPAND,Saut_Takari,Cambium,Dicorynia_guianensis
DSW_AABQ,IX17,EXPAND,Saut_Takari,Cambium,Dicorynia_guianensis
DSW_AABR,IX18,EXPAND,Saut_Takari,Cambium,Dicorynia_guianensis
DSW_AABS,IX19,EXPAND,Saut_Takari,Cambium,Dicorynia_guianensis
DSW_AABT,IX20,EXPAND,Saut_Takari,Cambium,Dicorynia_guianensis
DSW_AABU,IX21,EXPAND,Saut_Takari,Cambium,Dicorynia_guianensis
DSW_AABV,IX22,EXPAND,Saut_Takari,Cambium,Dicorynia_guianensis
DSW_AABW,IX23,EXPAND,Saut_Takari,Cambium,Dicorynia_guianensis
DSW_AABX,IX24,EXPAND,Saut_Takari,Cambium,Dicorynia_guianensis
DSW_AABY,IX25,EXPAND,Montagne_Fer,Cambium,Dicorynia_guianensis
DSW_AABZ,IX26,EXPAND,Montagne_Fer,Cambium,Dicorynia_guianensis
DSW_AACB,IX28,EXPAND,Montagne_Fer,Cambium,Dicorynia_guianensis
DSW_AACC,IX29,EXPAND,Montagne_Fer,Cambium,Dicorynia_guianensis
DSW_AACD,IX30,EXPAND,Montagne_Fer,Cambium,Dicorynia_guianensis
DSW_AACG,IX33,EXPAND,Montagne_Fer,Cambium,Dicorynia_guianensis
DSW_AACL,IX38,EXPAND,Chutes_Voltaires,Cambium,Dicorynia_guianensis
DSW_AACR,IX44,EXPAND,Chutes_Voltaires,Cambium,Dicorynia_guianensis
DSW_AACS,IX45,EXPAND,Saul,Cambium,Dicorynia_guianensis
DSW_AACW,IX49,EXPAND,Saul,Cambium,Dicorynia_guianensis
DSW_AADB,IX54,EXPAND,Saul,Cambium,Dicorynia_guianensis
DSW_AAAD,IW68,EXPAND,Crique_Tigre,Feuille,Dicorynia_guianensis
DSW_AAAG,IW71,EXPAND,Crique_Tigre,Feuille,Dicorynia_guianensis
DSW_AAAJ,IW74,EXPAND,Crique_Tigre,Feuille,Dicorynia_guianensis
DSW_AAAK,IW75,EXPAND,Maripasoula,Feuille,Dicorynia_guianensis
DSW_AAAN,IW78,EXPAND,Maripasoula,Feuille,Dicorynia_guianensis
DSW_AAAO,IW79,EXPAND,Maripasoula,Feuille,Dicorynia_guianensis
DSW_AAAS,IW83,EXPAND,Maripasoula,Feuille,Dicorynia_guianensis
DSW_AAAU,IW85,EXPAND,Petit_croissant,Feuille,Dicorynia_guianensis
DSW_AAAV,IW86,EXPAND,Petit_croissant,Feuille,Dicorynia_guianensis
DSW_AAAW,IW87,EXPAND,Petit_croissant,Feuille,Dicorynia_guianensis
DSW_AAAX,IW88,EXPAND,Petit_croissant,Feuille,Dicorynia_guianensis
DSW_AAAY,IW89,EXPAND,Petit_croissant,Feuille,Dicorynia_guianensis
DSW_AAAZ,IW90,EXPAND,Petit_croissant,Feuille,Dicorynia_guianensis
DSW_AABA,IW91,EXPAND,Petit_croissant,Feuille,Dicorynia_guianensis
DSW_AABB,IW92,EXPAND,Petit_croissant,Feuille,Dicorynia_guianensis
DSW_AABC,IW93,EXPAND,Petit_croissant,Feuille,Dicorynia_guianensis
DSW_AABD,IW94,EXPAND,Petit_croissant,Feuille,Dicorynia_guianensis
DSW_AABF,IX06,EXPAND,Trinité,Feuille,Dicorynia_guianensis
DSW_AABO,IX15,EXPAND,Saut_Takari,Feuille,Dicorynia_guianensis
DSW_AACA,IX27,EXPAND,Montagne_Fer,Feuille,Dicorynia_guianensis
DSW_AACE,IX31,EXPAND,Montagne_Fer,Feuille,Dicorynia_guianensis
DSW_AACF,IX32,EXPAND,Montagne_Fer,Feuille,Dicorynia_guianensis
DSW_AACH,IX34,EXPAND,Montagne_Fer,Feuille,Dicorynia_guianensis
DSW_AACI,IX35,EXPAND,Chutes_Voltaires,Feuille,Dicorynia_guianensis
DSW_AACJ,IX36,EXPAND,Chutes_Voltaires,Feuille,Dicorynia_guianensis
DSW_AACK,IX37,EXPAND,Chutes_Voltaires,Feuille,Dicorynia_guianensis
DSW_AACM,IX39,EXPAND,Chutes_Voltaires,Feuille,Dicorynia_guianensis
DSW_AACN,IX40,EXPAND,Chutes_Voltaires,Feuille,Dicorynia_guianensis
DSW_AACO,IX41,EXPAND,Chutes_Voltaires,Feuille,Dicorynia_guianensis
DSW_AACP,IX42,EXPAND,Chutes_Voltaires,Feuille,Dicorynia_guianensis
DSW_AACQ,IX43,EXPAND,Chutes_Voltaires,Feuille,Dicorynia_guianensis
DSW_AACT,IX46,EXPAND,Saul,Feuille,Dicorynia_guianensis
DSW_AACU,IX47,EXPAND,Saul,Feuille,Dicorynia_guianensis
DSW_AACV,IX48,EXPAND,Saul,Feuille,Dicorynia_guianensis
DSW_AACX,IX50,EXPAND,Saul,Feuille,Dicorynia_guianensis
DSW_AACY,IX51,EXPAND,Saul,Feuille,Dicorynia_guianensis
DSW_AACZ,IX52,EXPAND,Saul,Feuille,Dicorynia_guianensis
DSW_AADA,IX53,EXPAND,Saul,Feuille,Dicorynia_guianensis
